comm,dso,symbol,cycles,instructions,branches,branchmisses,cpi,bmf
g4run,libG4processes.so,G4CrossSectionDataStore::GetCrossSection,9.18568E+11,1.34201E+12,2.14922E+11,2458108336,0.684473172,1.143723563
g4run,libG4geometry.so,G4PolyhedraSide::DistanceAway,7.37048E+11,1.18051E+12,1.97444E+11,2635899121,0.624347169,1.335013617
g4run,libG4processes.so,G4GammaNuclearXS::GetIsoCrossSection,7.16212E+11,1.01103E+12,1.62446E+11,2274157871,0.708399857,1.399950463
g4run,g4run,CMSMagneticField::GetFieldValue,6.58703E+11,1.1511E+12,1.65408E+11,1532983384,0.572238522,0.926788387
g4run,libG4tracking.so,G4SteppingManager::DefinePhysicalStepLength,6.46199E+11,9.47276E+11,1.49668E+11,2063178946,0.682165645,1.378504466
g4run,libG4processes.so,G4VEmProcess::ComputeIntegralLambda,5.80819E+11,7.8551E+11,1.23992E+11,1953167081,0.739415607,1.575238658
g4run,libG4processes.so,G4NeutronCaptureXS::IsoCrossSection,5.70869E+11,7.64943E+11,1.24378E+11,1568866429,0.746289991,1.261373075
g4run,libG4geometry.so,G4VoxelNavigation::LevelLocate,5.02245E+11,6.68614E+11,1.04885E+11,1822118873,0.751172727,1.737257812
g4run,libG4processes.so,G4VEmProcess::PostStepGetPhysicalInteractionLength,4.99489E+11,7.03332E+11,1.12113E+11,1596294586,0.710175008,1.423825979
g4run,libm-2.28.so,sincosf32x,4.48626E+11,7.372E+11,1.08692E+11,1143829732,0.608553318,1.052358357
g4run,libG4processes.so,G4UrbanMscModel::SampleCosineTheta,4.37749E+11,7.05972E+11,87758090696,868007318,0.620065458,0.989090933
g4run,libG4tracking.so,G4SteppingManager::InvokePSDIP,4.1773E+11,6.29947E+11,95945484569,1247644199,0.663118372,1.300367813
g4run,libG4geometry.so,G4PolyconeSide::DistanceAway,4.0967E+11,6.69677E+11,98293276638,1363169609,0.611743074,1.386839116
g4run,libG4processes.so,G4CrossSectionDataStore::GetIsoCrossSection,3.96159E+11,5.92309E+11,94335212747,965938444,0.66883924,1.023942615
g4run,libG4geometry.so,G4Mag_UsualEqRhs::EvaluateRhsGivenB,3.94967E+11,6.56548E+11,98421642672,925819531,0.601581586,0.940666611
g4run,libG4geometry.so,G4PolyhedraSide::DistanceToOneSide,3.88173E+11,6.30631E+11,1.06571E+11,1370144380,0.615530616,1.285663565
g4run,libG4digits_hits.so,G4TouchableHistory::GetVolume,3.87531E+11,6.07292E+11,90616240160,1061852833,0.638130225,1.171812946
g4run,libG4processes.so,G4NeutronInelasticXS::IsoCrossSection,3.78398E+11,5.65294E+11,84693581358,633071108,0.66938353,0.747484163
g4run,libG4processes.so,G4Transportation::AlongStepGetPhysicalInteractionLength,3.62062E+11,5.71123E+11,90506201422,957685588,0.633946457,1.058143611
g4run,libG4geometry.so,G4Navigator::ComputeStep,3.58009E+11,5.60367E+11,86392797883,1038624101,0.638883136,1.202211442
g4run,libG4clhep.so,CLHEP::MixMaxRng::iterate,3.55191E+11,5.36273E+11,78029275375,1012463438,0.662332176,1.297543048
g4run,libG4geometry.so,"G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::StepWithError",3.4818E+11,5.89151E+11,87164608664,823959908,0.590986346,0.945291811
g4run,libG4geometry.so,G4PolyPhiFace::InsideEdges,3.44252E+11,5.28299E+11,88496933260,1251807150,0.651623296,1.414520372
g4run,libG4processes.so,G4NeutronElasticXS::GetElementCrossSection,3.23752E+11,5.8778E+11,85156280196,463927610,0.550803488,0.544795532
g4run,libG4geometry.so,G4PolyconeSide::Distance,3.19349E+11,5.37942E+11,78325161329,950644216,0.593648687,1.21371498
g4run,libG4processes.so,G4UniversalFluctuation::SampleGlandz,3.17859E+11,4.39375E+11,56079330391,986895404,0.723433501,1.759820235
g4run,libG4tracking.so,G4SteppingManager::Stepping,3.16918E+11,4.76532E+11,73594214432,978651069,0.665050281,1.329793485
g4run,libG4processes.so,G4CrossSectionDataStore::ComputeCrossSection,3.1232E+11,4.60882E+11,72771691891,843084766,0.677657545,1.158533963
g4run,libG4geometry.so,G4PropagatorInField::ComputeStep,2.88795E+11,4.37254E+11,71156410221,783293075,0.660475399,1.100804654
g4run,libG4tracking.so,G4SteppingManager::InvokeAlongStepDoItProcs,2.84327E+11,4.43035E+11,69094847934,780793447,0.641770731,1.130031356
g4run,libG4geometry.so,G4PolyhedraSide::Distance,2.76998E+11,4.48106E+11,74073625019,844759746,0.618154112,1.140432571
g4run,libG4processes.so,G4UrbanMscModel::ComputeTruePathLengthLimit,2.68359E+11,3.77839E+11,63227569713,715120728,0.710246812,1.131026752
g4run,libG4geometry.so,G4Navigator::LocateGlobalPointAndSetup,2.61387E+11,4.05502E+11,57845947499,859744671,0.644600364,1.486266036
g4run,libG4geometry.so,G4VCSGfaceted::Inside,2.56986E+11,4.062E+11,65933198029,869103067,0.632657855,1.318157003
g4run,libG4geometry.so,G4NavigationLevel::operator=,2.41048E+11,3.61483E+11,52776158324,773604916,0.66683266,1.465822713
g4run,libG4geometry.so,G4Navigator::LocateGlobalPointWithinVolume,2.31685E+11,3.58498E+11,52768159180,603043054,0.646265608,1.142816167
g4run,libG4geometry.so,G4PolyhedraSide::GetPhi,2.26334E+11,3.56163E+11,59848022626,833456184,0.635479763,1.392621088
g4run,libG4geometry.so,G4VoxelNavigation::ComputeStep,2.13993E+11,3.03381E+11,44667003035,698094458,0.705359397,1.562886271
g4run,libG4geometry.so,G4PolyhedraSide::PhiSegment,2.13533E+11,3.43343E+11,57695742756,783846741,0.621922061,1.358586793
g4run,libG4processes.so,G4VEnergyLossProcess::AlongStepGetPhysicalInteractionLength,2.08075E+11,2.87186E+11,48181060327,623463383,0.724528601,1.29400096
g4run,libG4geometry.so,G4PolyhedraSide::Inside,2.04246E+11,3.32912E+11,56407138351,731076200,0.613514132,1.296070358
g4run,libG4processes.so,G4VEnergyLossProcess::PostStepGetPhysicalInteractionLength,2.0274E+11,2.84195E+11,47569558075,578581797,0.713381795,1.216285836
g4run,libG4geometry.so,G4PolyhedraSide::Intersect,2.01244E+11,3.2099E+11,56282357819,967950305,0.626947342,1.719811221
g4run,libG4geometry.so,G4NormalNavigation::ComputeStep,1.98097E+11,3.04093E+11,48092478919,566987261,0.65143448,1.178952039
g4run,libG4geometry.so,G4PolyconeSide::PointOnCone,1.9762E+11,3.28774E+11,49292027573,901079705,0.601079857,1.828043498
g4run,libG4processes.so,G4KleinNishinaCompton::SampleSecondaries,1.91142E+11,3.13961E+11,46698284192,594369079,0.608807872,1.272785691
g4run,libG4processes.so,G4VEnergyLossProcess::ComputeLambdaForScaledEnergy,1.90437E+11,2.58504E+11,43287990516,524304376,0.736688237,1.211200543
g4run,libG4processes.so,G4UrbanMscModel::ComputeGeomPathLength,1.89608E+11,2.9531E+11,48039250274,537562947,0.642064305,1.119007778
g4run,libG4geometry.so,G4IntersectingCone::LineHitsCone1,1.883E+11,3.1091E+11,46382082183,848170399,0.605641635,1.828659601
g4run,libG4processes.so,G4Transportation::AlongStepDoIt,1.83928E+11,2.86621E+11,44896527580,527362536,0.641710583,1.174617647
g4run,libG4processes.so,G4ElectroNuclearCrossSection::GetElementCrossSection,1.81858E+11,2.37537E+11,38615708676,686780632,0.76560021,1.778500656
g4run,libG4processes.so,G4VProcess::ResetNumberOfInteractionLengthLeft,1.7821E+11,2.89433E+11,42625982102,296106245,0.615722071,0.694661402
g4run,libG4processes.so,G4VDiscreteProcess::PostStepGetPhysicalInteractionLength,1.76281E+11,2.55671E+11,39869504322,621482529,0.689483184,1.558791712
g4run,libm-2.28.so,0x000000000007c030,1.72049E+11,2.83009E+11,47696393228,617518323,0.607928767,1.294685575
g4run,libG4geometry.so,G4PolyconeSide::Inside,1.55762E+11,2.29865E+11,34161163551,535544680,0.677624637,1.567700348
g4run,libG4processes.so,G4Transportation::PostStepDoIt,1.52632E+11,2.2595E+11,34989004134,508424621,0.675510933,1.453098291
g4run,libG4geometry.so,G4Region::GetRegionalSteppingAction,1.46175E+11,2.11522E+11,32369524148,468534504,0.691059974,1.447455643
g4run,libG4physicslists.so,G4Log,1.42594E+11,2.008E+11,33205392150,424755557,0.710127493,1.279176451
g4run,libG4processes.so,G4LivermorePhotoElectricModel::ComputeCrossSectionPerAtom,1.40226E+11,2.27393E+11,32522252527,332129598,0.616669031,1.02123799
g4run,libG4processes.so,G4PhysicsVector::LogVectorValue,1.37798E+11,2.10345E+11,30322282613,327158580,0.655105405,1.078937836
g4run,libG4tracking.so,G4SteppingManager::SetInitialStep,1.36107E+11,2.33984E+11,29269088270,284461403,0.581692992,0.971883375
g4run,libG4particles.so,G4IonTable::FindIon,1.336E+11,2.2174E+11,33781248008,301456104,0.602505684,0.892377049
g4run,libG4geometry.so,G4NavigationLevel::G4NavigationLevel,1.26351E+11,1.86207E+11,29336409059,456290108,0.678548072,1.555371372
g4run,libG4geometry.so,G4PolyconeSide::Intersect,1.24261E+11,2.02131E+11,30196848837,581281676,0.614754627,1.924974619
g4run,libG4geometry.so,G4LogicalVolume::GetSolid,1.22589E+11,1.83366E+11,27563499398,368029068,0.668548854,1.335204441
g4run,libG4clhep.so,CLHEP::HepLorentzVector::boost,1.2183E+11,1.779E+11,29702007105,312587840,0.684820011,1.052413188
g4run,libG4geometry.so,G4EnclosingCylinder::MustBeOutside,1.19297E+11,1.81298E+11,30565915986,462526784,0.658016461,1.513210938
g4run,libG4processes.so,G4ProcessManager::GetAttribute,1.18956E+11,1.94283E+11,26683432073,242049775,0.612282966,0.90711635
g4run,libG4processes.so,G4GEMProbability::CalcProbability,1.16666E+11,1.93591E+11,28288392830,71674911,0.602640339,0.253372157
g4run,libG4tracking.so,G4SteppingManager::InvokePostStepDoItProcs,1.14814E+11,1.67658E+11,25509627173,383635425,0.684810001,1.503884876
g4run,libG4geometry.so,G4VoxelNavigation::LocateNextVoxel,1.14196E+11,1.47403E+11,20715277183,426478840,0.774720182,2.058764825
g4run,libG4geometry.so,G4Box::Inside,1.12321E+11,1.86883E+11,29858327108,365671120,0.60102379,1.224687233
g4run,libG4geometry.so,G4VPhysicalVolume::GetObjectTranslation,1.11436E+11,1.56378E+11,24462035933,349364612,0.712608014,1.428191067
g4run,libG4processes.so,G4VMscModel::GetEnergy,1.10446E+11,1.59657E+11,24821157347,353647239,0.691773699,1.424781424
g4run,libG4geometry.so,G4PolyconeSide::DistanceAway,1.09587E+11,1.53653E+11,23152225243,427007068,0.713209797,1.844345688
g4run,libG4geometry.so,G4LineSection::Dist,1.05784E+11,1.62404E+11,26437026055,305289062,0.651363931,1.154778383
g4run,libG4geometry.so,G4PolyPhiFace::Inside,1.05168E+11,1.68052E+11,28611786628,364795059,0.625808197,1.274981754
g4run,libG4clhep.so,CLHEP::MixMaxRng::generate,1.01496E+11,1.48601E+11,22464987008,300033149,0.683008797,1.33555897
g4run,libG4processes.so,G4Transportation::SetTouchableInformation,99919273968,1.55806E+11,23383278170,279753151,0.641304385,1.19638123
g4run,libG4processes.so,G4VEmProcess::PostStepDoIt,99909925165,1.52905E+11,23510917468,359604762,0.653412347,1.529522455
g4run,libG4clhep.so,CLHEP::(anonymous namespace)::theDefaults,99063171434,1.52112E+11,23261314651,270787983,0.651253479,1.164112979
g4run,libG4processes.so,G4VEnergyLossProcess::AlongStepDoIt,98101742217,1.44417E+11,19835935158,247476510,0.679296688,1.247617055
g4run,libG4geometry.so,G4LogicalVolume::GetSolid,97522329762,1.38503E+11,20836937192,297806524,0.704118379,1.429224081
g4run,libG4geometry.so,"G4ChordFinderDelegate<G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> > >::FindNextChord",96933855516,1.48772E+11,23892857147,266827727,0.651561608,1.116767766
g4run,libG4processes.so,G4InuclSpecialFunctions::G4cbrt,94890768249,1.27899E+11,23004285008,265197482,0.741917538,1.152817755
g4run,libG4processes.so,G4HadronicProcess::GetMeanFreePath,93832736739,1.37995E+11,21882477392,269389417,0.679973042,1.231073668
g4run,libG4clhep.so,CLHEP::Hep3Vector::rotateUz,88362238150,1.44474E+11,19952790365,249012573,0.611611489,1.248008767
g4run,libG4track.so,G4ParticleChangeForTransport::UpdateStepForAlongStep,85473037229,1.33761E+11,20920817927,246207974,0.638997262,1.176856349
g4run,libG4processes.so,G4VProcess::EndTracking,85275327019,1.34769E+11,18219079392,168356882,0.632752171,0.924069095
g4run,libG4modeling.so,G4AffineTransform::G4AffineTransform,84587299029,1.16138E+11,18034867813,274096773,0.728334063,1.519815814
g4run,libG4geometry.so,G4VCSGfaceted::DistanceTo,83987297702,1.36138E+11,20995847621,271204525,0.616925407,1.291705531
g4run,libG4processes.so,G4ProcessManager::StartTracking,82553274066,1.45514E+11,19863226678,150275540,0.56732223,0.756551503
g4run,libG4track.so,G4StepPoint::operator=,81847905037,1.33569E+11,18542801263,216235136,0.61277772,1.166140611
g4run,libG4processes.so,G4VMultipleScattering::AlongStepDoIt,81225996665,1.21585E+11,18217003841,212822946,0.66806186,1.168265363
g4run,libG4global.so,G4Physics2DVector::Value,80506450910,1.01531E+11,15360291154,423652401,0.792926854,2.758101372
g4run,libG4geometry.so,G4DisplacedSolid::Inside,79843964822,1.28879E+11,20933511800,270633090,0.619525082,1.292822211
g4run,libG4geometry.so,G4LogicalVolume::GetMaterial,78013760938,1.24644E+11,18484272671,210529441,0.625890234,1.138965242
g4run,libG4processes.so,G4InuclParticle::setMomentum,77459307311,1.02339E+11,19326067198,209998951,0.756889599,1.086609856
g4run,libG4processes.so,G4ProcessManager::EndTracking,76305337174,1.21654E+11,16182681651,128131205,0.627234676,0.791779804
g4run,libG4particles.so,G4Proton::Definition,75239830840,1.06274E+11,17919138224,237473882,0.707981739,1.325252805
g4run,libG4tracking.so,G4SteppingManager::GetProcessNumber,74740910815,1.26773E+11,16804862078,170736360,0.589563677,1.015993819
g4run,libG4geometry.so,G4EquationOfMotion::RightHandSide,74358427146,1.24322E+11,18331553906,178881797,0.598113784,0.975813605
g4run,libG4processes.so,G4HadronElastic::ApplyYourself,72872997200,1.21837E+11,18255063937,162514298,0.598117925,0.890242283
g4run,libG4processes.so,G4VCrossSectionDataSet::IsIsoApplicable,72426724164,1.01022E+11,16757245518,200800280,0.71694364,1.1982893
g4run,libm-2.28.so,0x000000000007c25d,71129065318,1.16425E+11,19534327665,273910438,0.610945696,1.402200489
g4run,libG4geometry.so,G4FieldTrack::LoadFromArray,70675425641,1.06467E+11,16340133642,207890379,0.663826238,1.272268536
g4run,libG4processes.so,G4UniversalFluctuation::SampleFluctuations,70178932609,1.08625E+11,13295011173,171891733,0.646065097,1.292904013
g4run,libG4geometry.so,G4NavigationHistory::G4NavigationHistory,68983725547,97042310331,15412707786,252546328,0.710862358,1.638559113
g4run,libG4processes.so,G4CascadeInterpolator<30>::interpolate,68552280322,96965575836,16546162327,204051969,0.706975437,1.233228376
g4run,libG4track.so,G4ParticleChangeForLoss::UpdateStepForAlongStep,68407472716,90924759109,13004529268,242372351,0.752352532,1.863753359
g4run,libG4geometry.so,G4Navigator::ComputeSafety,67197287727,1.03477E+11,16377351945,151036686,0.649392619,0.922228981
g4run,libG4particles.so,G4NucleiPropertiesTableAME12::GetIndex,66035649114,95962020194,16059160222,239777436,0.68814359,1.49308826
g4run,libG4processes.so,G4SauterGavrilaAngularDistribution::SampleDirection,65421014371,98178541733,15410562046,237585573,0.666347383,1.541706086
g4run,libG4geometry.so,G4SubtractionSolid::Inside,65303146080,1.0297E+11,17426212876,229234738,0.634196114,1.3154593
g4run,libm-2.28.so,atan2f32x,65129530645,1.06218E+11,17742846468,233563613,0.613170394,1.316381864
g4run,libG4processes.so,G4LorentzConvertor::fillKinematics,64669957912,95463129679,15756189087,177536338,0.677433876,1.12677207
g4run,libG4clhep.so,CLHEP::RandGaussQ::transformQuick,64625158331,93131609438,13403773044,220195665,0.693912182,1.642788671
g4run,libG4particles.so,G4ParticleDefinition::GetProcessManager,63004846989,1.02648E+11,13899807596,117017972,0.613798042,0.841867567
g4run,libm-2.28.so,0x000000000007c034,62814083158,1.03622E+11,17416501076,221632868,0.606187406,1.272545312
g4run,libG4geometry.so,G4PolyhedraSide::ClosestPhiSegment,62728626246,1.01501E+11,17065175639,219640044,0.618009743,1.287065827
g4run,libG4event.so,G4EventManager::DoProcessing,62669799090,1.09641E+11,12190112187,80555233,0.571590291,0.660824378
g4run,libG4processes.so,G4VEnergyLossProcess::PostStepDoIt,62098600117,76786193456,11029034115,329637598,0.808720908,2.98881656
g4run,libG4particles.so,G4Neutron::Definition,62033840736,85970056493,14714788380,197996481,0.721574968,1.345561186
g4run,libstdc++.so.6.0.25,std::locale::~locale,61957268453,9832334459,2095924039,9689686,6.301379262,0.462310934
g4run,libG4processes.so,G4SeltzerBergerModel::SampleEnergyTransfer,61280424088,78863157609,11986024913,316886574,0.777047559,2.643800395
g4run,libG4particles.so,G4DynamicParticle::Set4Momentum,60545986980,81031880811,15290486276,145452988,0.747187235,0.951264632
g4run,libG4processes.so,G4VEmProcess::StartTracking,59937590401,96511267160,14212417889,129711696,0.621042415,0.912664523
g4run,libG4geometry.so,"G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::GetDerivatives",59535617265,99302652157,15566353113,148392253,0.599537031,0.953288493
g4run,libG4track.so,G4ParticleChangeForTransport::UpdateStepForPostStep,58627838645,87065886065,13143313831,154806396,0.67337325,1.177833825
g4run,libG4geometry.so,"G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::AdvanceChordLimited",57951308722,91588802362,14702132716,149972882,0.632733557,1.020075692
g4run,libG4geometry.so,G4Tubs::DistanceToOut,57275988510,85179202650,13314078697,137542267,0.672417524,1.03305884
g4run,libG4processes.so,G4VMultipleScattering::AlongStepGetPhysicalInteractionLength,56261364543,79328545905,13288352625,156265121,0.709219662,1.175955556
g4run,libG4processes.so,G4UrbanMscModel::ComputeTheta0,55984547352,89469157650,10845173369,84114906,0.625741304,0.775597615
g4run,libG4clhep.so,CLHEP::HepRandom::getTheEngine,55957999655,87853737256,13188367516,138127373,0.636945011,1.047342462
g4run,libG4geometry.so,G4FieldManagerStore::ClearAllChordFindersState,55813116410,94181611622,12689148138,145747123,0.592611609,1.148596591
g4run,libG4track.so,G4Track::~G4Track,55708894223,89872743239,11082048742,82111098,0.619864179,0.740937889
g4run,libG4geometry.so,G4Tubs::Inside,55065952964,84749887470,12086435320,153616531,0.64974662,1.27098294
g4run,libG4geometry.so,G4PolyPhiFace::Distance,54943278430,84414461918,14048257530,179009088,0.650875184,1.274244066
g4run,libstdc++.so.6.0.25,std::locale::locale,54866294405,6516758287,1352434037,6050498,8.419261846,0.447378418
g4run,libG4event.so,G4StackManager::PushOneTrack,54382728699,76661325448,11344622665,191776631,0.709389361,1.690462844
g4run,libG4processes.so,G4LorentzConvertor::setBullet,53467432103,80858705676,13061397482,147033591,0.661245214,1.125711021
g4run,libG4geometry.so,G4Tubs::DistanceToOut,52590052459,77336588448,11628329945,153017731,0.680015159,1.31590462
g4run,libG4particles.so,G4DynamicParticle::~G4DynamicParticle,52494821914,74562209284,11255449051,137860291,0.704040591,1.224831549
g4run,libG4processes.so,G4NeutronCaptureXS::GetIsoCrossSection,52451670330,72405271800,11803646443,163000562,0.724417836,1.380933958
g4run,libG4processes.so,G4LivermorePhotoElectricModel::SampleSecondaries,51011438917,77735819780,12464664145,204192095,0.656215359,1.638167644
g4run,libG4event.so,G4StackManager::GetNUrgentTrack,50700391199,87632395129,9803090654,44879379,0.578557634,0.457808467
g4run,libG4processes.so,G4HadronElasticProcess::PostStepDoIt,50334007853,93607308453,13780051596,120237822,0.537714508,0.872549868
g4run,libG4clhep.so,CLHEP::MixMaxRng::flatArray,50121486099,73762148024,10099136554,163373605,0.679501444,1.617698742
g4run,libG4clhep.so,CLHEP::MixMaxRng::modadd,50121294053,75347008002,10931432068,140680220,0.665206163,1.286933122
g4run,libG4geometry.so,G4PropagatorInField::ClearPropagatorState,49412266435,89075126278,11024398703,95470734,0.554725752,0.865994932
g4run,libG4processes.so,G4GammaNuclearXS::IsIsoApplicable,49255430002,72170585004,11486597535,146766484,0.682486223,1.27771939
g4run,libG4clhep.so,CLHEP::MixMaxRng::MULWU,49236521777,74254404338,10997523470,136888838,0.663078806,1.244724218
g4run,libstdc++.so.6.0.25,__dynamic_cast,48294751352,60321414369,10348124766,193052761,0.800623657,1.865582078
g4run,libG4processes.so,G4LorentzConvertor::toTheCenterOfMass,46674133808,69460261765,11205964628,124048560,0.671954476,1.106986896
g4run,libm-2.28.so,0x00000000000770b4,46009296380,81845400287,10637701014,79749040,0.562148834,0.749683037
g4run,libG4geometry.so,G4MultiLevelLocator::EstimateIntersectionPoint,45684963187,75939385736,9909107862,123080656,0.601597745,1.242096238
g4run,libG4geometry.so,"G4TDormandPrince45<G4Mag_UsualEqRhs, 6u>::DistChord",44979574992,70465818951,11368130742,131457291,0.638317636,1.156366812
g4run,libG4clhep.so,CLHEP::operator/,44697670188,63173405983,10548263883,140850104,0.707539343,1.335291813
g4run,g4run,ffunkti,44616430425,81100210926,10387377191,72916366,0.550139512,0.701970908
g4run,libG4geometry.so,G4FieldTrack::G4FieldTrack,44345305201,80457962783,10037080156,85254030,0.551161174,0.849390746
g4run,libG4processes.so,G4CascadeCheckBalance::collide,43164072534,56201049470,9136240442,169661900,0.768029653,1.85702096
g4run,libG4processes.so,G4UrbanMscModel::SampleDisplacement,42698066887,79767900672,9721721506,84019191,0.535278809,0.864241904
g4run,libG4processes.so,G4NucleiModel::generateInteractionPartners,42392756759,56941970523,9961063546,137699628,0.744490511,1.382378773
g4run,libG4processes.so,G4ElectroNuclearCrossSection::IsElementApplicable,42347051776,59959677088,10056515388,110090436,0.706258836,1.094717521
g4run,libG4processes.so,G4VMultipleScattering::StartTracking,42299877664,64720309175,9510509790,128826611,0.65357966,1.354571036
g4run,libG4geometry.so,G4PolyPhiFace::Intersect,41930076221,68407644991,12291639032,199156693,0.612944302,1.620261484
g4run,libG4processes.so,G4UrbanMscModel::SampleScattering,41852091052,69886148898,8814519746,86859092,0.598861029,0.98540924
g4run,libG4clhep.so,CLHEP::HepLorentzVector::boostVector,40570196675,64148374754,10133861672,110528370,0.632443095,1.090683627
g4run,libG4processes.so,G4WentzelOKandVIxSection::ComputeTransportCrossSectionPerAtom,39742743153,68034691304,8523334070,58732075,0.584154089,0.689073953
g4run,libm-2.28.so,0x000000000007d64d,39620173164,65787575787,11237107419,138908516,0.602244006,1.236159012
g4run,libG4geometry.so,G4Navigator::ResetState,39542302381,69935913733,7555854816,65357844,0.565407675,0.864996027
g4run,libG4geometry.so,G4VCSGfaceted::DistanceToOut,39283238827,64107159858,10677026115,173191233,0.612774594,1.622092436
g4run,libG4geometry.so,G4PropagatorInField::FindAndSetFieldManager,38699598359,60043767789,9945642709,90927771,0.64452315,0.914247311
g4run,libG4particles.so,G4DynamicParticle::G4DynamicParticle,38667411186,47839939029,8288399832,128297636,0.808266314,1.547918037
g4run,libG4processes.so,G4LorentzConvertor::getKinEnergyInTheTRS,37771375864,55259829594,9264371694,94941484,0.683523206,1.02480219
g4run,libG4geometry.so,G4FieldManager::ConfigureForTrack,37697936903,59791811797,9658293867,83081230,0.630486613,0.860206069
g4run,libG4processes.so,G4Exp,37641963634,52170261189,9467991013,86445150,0.721521472,0.913025265
g4run,libG4processes.so,G4CascadeChannelTables::FindTable,36682200562,48284291038,7773675438,139358446,0.759712937,1.792696995
g4run,libG4geometry.so,G4VoxelNavigation::ComputeVoxelSafety,36589806947,56534917145,8656433415,126894648,0.647207227,1.465899891
g4run,libG4geometry.so,G4NormalNavigation::ComputeSafety,36563463313,56100044467,9003312100,86471993,0.651754623,0.960446467
g4run,libG4geometry.so,G4TouchableHistory::G4TouchableHistory,36559226570,53353612151,8412870721,123201292,0.685224957,1.464438193
g4run,libG4track.so,G4Track::G4Track,35695854954,51659754364,7933171499,132058283,0.690979959,1.664634163
g4run,libG4geometry.so,"G4RKIntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::GetEquationOfMotion",35674152110,56809433402,9285399023,89681865,0.627961766,0.965837492
g4run,libm-2.28.so,0x000000000007d626,35525722450,58376597475,9923992688,125364414,0.608561033,1.263245731
g4run,libG4geometry.so,G4Polyhedra::Inside,35197385556,52604948977,8971952944,131385529,0.669088864,1.464402787
g4run,libG4geometry.so,"G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::QuickAdvance",35155179285,57631415169,9030748489,87273284,0.610000278,0.966401446
g4run,libG4processes.so,G4RayleighAngularGenerator::SampleDirection,34362371075,50825977357,8026128640,121532986,0.676078904,1.514216772
